File Name,Score,Saldo,Banco Count,Financiera Count,Otro Count,MOP 01-02 Count,MOP 03-07 Count,MOP 96-97 Count,Total Cuentas Abiertas,Total MOPS,Total Cuentas Suma,Dictamen
69817,660,86962,2,1,3,6,0,0,6,6,6,Buen historial
70114,597,178351,1,4,0,3,2,0,5,5,5,Buro Regular
70179,538,354123,0,14,2,9,5,2,16,16,16,Mal buro de credito
70208,526,897411,3,12,14,15,2,12,29,29,29,Mal buro de credito
70259,591,1085244,0,8,2,6,0,4,10,10,10,Buro Regular
70316,609,575123,1,3,22,6,0,20,26,26,26,No cumple politicas
70340,583,144377,2,2,1,4,0,1,5,5,5,Buro Regular
70455,578,54187,1,2,0,1,0,2,3,3,3,No cumple politicas
70494,538,343432,0,13,2,8,5,2,15,15,15,Mal buro de credito
70518,587,324490,0,4,9,4,0,9,13,13,13,No cumple politicas
70559,574,570050,1,6,5,10,1,1,12,12,12,Buro Regular
70565,676,25276,0,1,0,1,0,0,1,1,1,Buen historial
70587,500,325670,0,5,1,2,2,2,6,6,6,No cumple politicas
70592,532,443781,0,7,5,6,0,6,12,12,12,No cumple politicas
70597,604,1179160,0,4,7,6,1,4,11,11,11,Buro Regular
70614,680,802744,12,0,3,15,0,0,15,15,15,Buen historial
70625,557,164933,3,6,5,6,1,7,14,14,14,No cumple politicas
70633,622,791749,2,11,7,16,2,2,20,20,20,Buro Regular
70638,558,149545,0,13,2,13,2,0,15,15,15,Buro Regular
70701,687,69375,1,2,0,3,0,0,3,3,3,Buen historial
70702,668,1760623,12,17,1,30,0,0,30,30,30,Buen historial
70705,658,114177,0,5,3,7,0,1,8,8,8,Buen historial
70747,607,35817,1,0,2,3,0,0,3,3,3,Buro Regular
70787,604,282495,2,9,1,10,0,2,12,12,12,Buro Regular
70799,609,107772,4,2,2,7,1,0,8,8,8,Buro Regular
70821,590,535486,3,6,12,19,1,1,21,21,21,Buro Regular
70831,532,29167,0,1,4,2,2,1,5,5,5,No cumple politicas
70847,596,575632,1,5,5,10,0,1,11,11,11,Buro Regular
70882,613,672786,4,3,3,9,0,1,10,10,10,Buro Regular
70890,661,308875,2,2,1,5,0,0,5,5,5,Buen historial
70905,679,232860,0,11,8,17,0,2,19,19,19,Buen historial
70917,632,2490800,7,14,2,18,1,4,23,23,23,Buro Regular
70921,638,902260,2,14,4,20,0,0,20,20,20,Buro Regular
70930,534,752219,1,17,1,14,2,3,19,19,19,Mal buro de credito
70935,583,436987,1,5,2,4,0,4,8,8,8,No cumple politicas
70938,588,90781,0,4,3,6,1,0,7,7,7,Buro Regular
70942,599,57555,1,0,1,1,0,1,2,2,2,No cumple politicas
70952,676,338653,5,3,3,11,0,0,11,11,11,Buen historial
70954,603,130196,1,2,1,2,0,2,4,4,4,No cumple politicas
70966,604,305626,1,6,0,6,0,1,7,7,7,Buro Regular
70969,656,377342,1,3,4,6,1,1,8,8,8,Buen historial
70980,613,737026,0,6,3,8,0,1,9,9,9,Buro Regular
70985,584,1241219,1,4,9,11,0,3,14,14,14,Buro Regular
70987,544,29350,3,0,4,5,2,0,7,7,7,Mal buro de credito
70992,540,140370,2,5,4,6,1,4,11,11,11,Mal buro de credito
71017,697,61541,0,2,2,2,1,1,4,4,4,No cumple politicas
71034,578,5908,0,0,3,2,0,1,3,3,3,Buro Regular
71035,573,774456,2,18,7,25,0,2,27,27,27,Buro Regular
71036,655,155966,2,9,2,10,3,0,13,13,13,Buen historial
71044,538,76750,2,5,8,5,3,7,15,15,15,No cumple politicas
71053,570,679639,3,0,5,3,0,5,8,8,8,No cumple politicas
71077,624,780616,0,6,2,5,0,3,8,8,8,Buro Regular
71078,534,367823,1,6,4,4,1,6,11,11,11,No cumple politicas
71081,551,200851,2,2,3,3,3,1,7,7,7,No cumple politicas
71088,675,903193,3,0,0,3,0,0,3,3,3,Buen historial
71111,560,844166,1,12,5,14,1,3,18,18,18,Buro Regular
71143,573,416638,1,8,4,9,1,3,13,13,13,Buro Regular
71180,605,125470,3,0,3,6,0,0,6,6,6,Buro Regular
